model,cold_mae,cold_rmse,std_cold_mae,std_cold_rmse,warm_mae,warm_rmse,std_warm_mae,std_warm_rmse
LVXNN,0.830312915,1.057625606,0.024771086,0.032095205,0.471274719,0.640042238,0.029412987,0.036488369
SVD,0.901764997,1.141297585,0.001962052,0.002000419,0.822714123,1.051114941,0.002008788,0.001723413
xgboost,0.7345239,0.922096291,5.96E-08,0,0.7251796,0.92333242,0,2.22E-16
fm,0.615697432,0.825545914,0.013295717,0.017188489,0.577636289,0.792445795,0.018635901,0.02712581
fm,0.664617671,0.891970392,0.051769289,0.070321538,0.630131908,0.877285033,0.056582841,0.092105682
