model,cold_mae,cold_rmse,std_cold_mae,std_cold_rmse,warm_mae,warm_rmse,std_warm_mae,std_warm_rmse
LVXNN,0.831227463,1.057311404,0.025679093,0.033494237,0.471016709,0.641317751,0.031546986,0.03457723
SVD,0.90123858,1.14104591,0.002391964,0.003183478,0.821084435,1.048786522,0.003377417,0.004288975
xgboost,0.7345239,0.922096291,5.96E-08,0,0.7251796,0.92333242,0,2.22E-16
deepfm,0.615697432,0.825545914,0.013295717,0.017188489,0.577636289,0.792445795,0.018635901,0.02712581
fm,0.664617671,0.891970392,0.051769289,0.070321538,0.630131908,0.877285033,0.056582841,0.092105682
