model,cold_auc,cold_logloss,std_cold_auc,std_cold_logloss,warm_auc,warm_logloss,std_warm_auc,std_warm_logloss
LVXNN,0.933808927,0.302414632,0.002035209,0.029773877,0.973529633,0.237842545,0.001512625,0.002939291
SVD,0.920934107,0.325247306,0.000152291,0.000951407,0.888909752,0.341177769,0.000260724,0.000548373
xgboost,0.944146109,0.217380582,0.00E+00,2.78E-17,0.881709139,0.316024593,1.11E-16,0.00E+00
deepfm,0.985233625,0.152243154,0.001099235,0.010308299,0.989389094,0.139749092,0.000631336,0.006273857
fm,0.984747138,0.156458813,0.001366037,0.010432667,0.988850209,0.144118937,0.001163441,0.009033054
